afterDestruction\1.png → 1.webp | Saved 1437077 bytes (88.2%)
afterDestruction\2.png → 2.webp | Saved 1437077 bytes (88.2%)
afterDestruction\3.png → 3.webp | Saved 1437077 bytes (88.2%)
andyMeltdown\1.png → 1.webp | Saved 2885452 bytes (89.8%)
andyMinion\andyMinion.png → andyMinion.webp | Saved 2878908 bytes (89.8%)
andySchool\1.png → 1.webp | Saved 2717543 bytes (92.4%)
andySchool\2.png → 2.webp | Saved 2717543 bytes (92.4%)
andySchool\3.png → 3.webp | Saved 2610889 bytes (95.3%)
andySchool\4.png → 4.webp | Saved 2610889 bytes (95.3%)
andySchool\5.png → 5.webp | Saved 2816321 bytes (90.3%)
andySchool\6.png → 6.webp | Saved 2889173 bytes (89.8%)
andySchool\7.png → 7.webp | Saved 2889173 bytes (89.8%)
andyShock\1.png → 1.webp | Saved 2883777 bytes (89.8%)
andyShock\2.png → 2.webp | Saved 2883777 bytes (89.8%)
andySpiderman\1.png → 1.webp | Saved 2889173 bytes (89.8%)
battleAntiPops\1.png → 1.webp | Saved 1770418 bytes (96.1%)
boomboxIntro\1.png → 1.webp | Saved 2452582 bytes (90.0%)
boomboxIntro\2.png → 2.webp | Saved 2442695 bytes (89.9%)
boomboxIntro\3.png → 3.webp | Saved 2442695 bytes (89.9%)
boomboxIntro\4.png → 4.webp | Saved 2442686 bytes (89.9%)
boomboxIntro\5.png → 5.webp | Saved 2449400 bytes (89.9%)
boomboxIntro\6.png → 6.webp | Saved 2449400 bytes (89.9%)
boomboxIntro\7.png → 7.webp | Saved 2434120 bytes (90.0%)
boomboxIntro\8.png → 8.webp | Saved 2434120 bytes (90.0%)
cannotEscape\1.png → 1.webp | Saved 2558455 bytes (93.0%)
coverMouth\1.png → 1.webp | Saved 2316967 bytes (93.0%)
coverMouth\2.png → 2.webp | Saved 2316967 bytes (93.0%)
coverMouth\3.png → 3.webp | Saved 2316967 bytes (93.0%)
derikCoffeeShop\1.png → 1.webp | Saved 2276775 bytes (96.0%)
derikCoffeeShop\10.png → 10.webp | Saved 1770418 bytes (96.1%)
derikCoffeeShop\11.png → 11.webp | Saved 1770418 bytes (96.1%)
derikCoffeeShop\12.png → 12.webp | Saved 1770418 bytes (96.1%)
derikCoffeeShop\13.png → 13.webp | Saved 1770418 bytes (96.1%)
