acceptFate\1.png → 1.webp | Saved 2861500 bytes (92.2%)
acceptFate\2.png → 2.webp | Saved 2851840 bytes (92.3%)
acceptFate\3.png → 3.webp | Saved 2896923 bytes (91.3%)
acceptFate\4.png → 4.webp | Saved 2649066 bytes (93.9%)
acceptFate\5.png → 5.webp | Saved 2649089 bytes (93.9%)
acceptFate\6.png → 6.webp | Saved 2648647 bytes (93.9%)
admireTheView\1.png → 1.webp | Saved 2113607 bytes (94.1%)
admireTheView\2.png → 2.webp | Saved 2113607 bytes (94.1%)
admireTheView\3.png → 3.webp | Saved 2109825 bytes (94.0%)
admireTheView\4.png → 4.webp | Saved 2130284 bytes (93.9%)
admireTheView\5.png → 5.webp | Saved 2107119 bytes (94.3%)
boiledEgg\1.png → 1.webp | Saved 2769932 bytes (93.2%)
boiledEgg\2.png → 2.webp | Saved 2769931 bytes (93.2%)
boiledEgg\3.png → 3.webp | Saved 2769931 bytes (93.2%)
boiledEgg\4.png → 4.webp | Saved 2769931 bytes (93.2%)
boiledEgg\5.png → 5.webp | Saved 2769931 bytes (93.2%)
boiledEgg\6.png → 6.webp | Saved 2769931 bytes (93.2%)
bringBackMilk\1.png → 1.webp | Saved 2703073 bytes (95.5%)
bringBackMilk\2.png → 2.webp | Saved 2705042 bytes (95.4%)
bringBackMilk\3.png → 3.webp | Saved 2697849 bytes (95.3%)
chocolateMilk\1.png → 1.webp | Saved 2770449 bytes (93.2%)
chocolateMilk\2.png → 2.webp | Saved 2770449 bytes (93.2%)
chocolateMilk\3.png → 3.webp | Saved 2770449 bytes (93.2%)
chocolateMilk\4.png → 4.webp | Saved 2770449 bytes (93.2%)
chocolateMilk\5.png → 5.webp | Saved 2770449 bytes (93.2%)
chocolateMilk\6.png → 6.webp | Saved 2770449 bytes (93.2%)
continueCheating\1.png → 1.webp | Saved 2798982 bytes (93.8%)
continueCheating\10.png → 10.webp | Saved 2661080 bytes (94.5%)
continueCheating\11.png → 11.webp | Saved 2642758 bytes (93.9%)
continueCheating\12.png → 12.webp | Saved 2649591 bytes (94.0%)
continueCheating\13.png → 13.webp | Saved 2654144 bytes (93.9%)
continueCheating\14.png → 14.webp | Saved 2654166 bytes (93.9%)
continueCheating\15.png → 15.webp | Saved 2654166 bytes (93.9%)
continueCheating\16.png → 16.webp | Saved 2654166 bytes (93.9%)
continueCheating\17.png → 17.webp | Saved 2654166 bytes (93.9%)
continueCheating\18.png → 18.webp | Saved 2654166 bytes (93.9%)
continueCheating\19.png → 19.webp | Saved 2654166 bytes (93.9%)
continueCheating\2.png → 2.webp | Saved 2661744 bytes (94.5%)
continueCheating\20.png → 20.webp | Saved 2654166 bytes (93.9%)
continueCheating\21.png → 21.webp | Saved 2654166 bytes (93.9%)
continueCheating\22.png → 22.webp | Saved 2654166 bytes (93.9%)
continueCheating\23.png → 23.webp | Saved 2654110 bytes (93.9%)
continueCheating\24.png → 24.webp | Saved 2654110 bytes (93.9%)
continueCheating\25.png → 25.webp | Saved 2654110 bytes (93.9%)
continueCheating\26.png → 26.webp | Saved 2645871 bytes (93.9%)
continueCheating\27.png → 27.webp | Saved 2645871 bytes (93.9%)
continueCheating\28.png → 28.webp | Saved 2645871 bytes (93.9%)
continueCheating\29.png → 29.webp | Saved 2645871 bytes (93.9%)
continueCheating\3.png → 3.webp | Saved 2661744 bytes (94.5%)
continueCheating\30.png → 30.webp | Saved 2645871 bytes (93.9%)
continueCheating\31.png → 31.webp | Saved 2916479 bytes (92.6%)
continueCheating\32.png → 32.webp | Saved 2916479 bytes (92.6%)
continueCheating\33.png → 33.webp | Saved 2916479 bytes (92.6%)
continueCheating\34.png → 34.webp | Saved 2916479 bytes (92.6%)
continueCheating\35.png → 35.webp | Saved 2916479 bytes (92.6%)
continueCheating\36.png → 36.webp | Saved 2916479 bytes (92.6%)
continueCheating\4.png → 4.webp | Saved 2876260 bytes (92.7%)
continueCheating\5.png → 5.webp | Saved 2661744 bytes (94.5%)
continueCheating\6.png → 6.webp | Saved 2876260 bytes (92.7%)
continueCheating\7.png → 7.webp | Saved 2661744 bytes (94.5%)
continueCheating\8.png → 8.webp | Saved 2661080 bytes (94.5%)
continueCheating\9.png → 9.webp | Saved 2661080 bytes (94.5%)
defendHimself\1.png → 1.webp | Saved 2888301 bytes (89.8%)
